
#  FSUGarnet                            
#      n(fm-3)          e/V(MeV/fm3)        P(MeV/fm3)            cs2
   0.512329200e+00    0.539926180e+03    0.103352747e+03    0.372939650e+00
   0.514783312e+00    0.543010674e+03    0.104503141e+03    0.373372006e+00
   0.517237424e+00    0.546100291e+03    0.105658401e+03    0.374207841e+00
   0.519691536e+00    0.549195721e+03    0.106817205e+03    0.374597789e+00
   0.522145648e+00    0.552296663e+03    0.107979703e+03    0.375188133e+00
   0.524599760e+00    0.555402255e+03    0.109146183e+03    0.376059208e+00
   0.527053872e+00    0.558512895e+03    0.110317062e+03    0.376681310e+00
   0.529507984e+00    0.561629949e+03    0.111491781e+03    0.377027809e+00
   0.531962096e+00    0.564753266e+03    0.112670166e+03    0.377668190e+00
   0.534416208e+00    0.567880493e+03    0.113852244e+03    0.378157086e+00
   0.536870320e+00    0.571014790e+03    0.115038027e+03    0.378659366e+00
   0.539324432e+00    0.574152607e+03    0.116227363e+03    0.379275304e+00
   0.541778544e+00    0.577296058e+03    0.117420077e+03    0.379630858e+00
   0.544232656e+00    0.580446483e+03    0.118616975e+03    0.380231185e+00
   0.546686768e+00    0.583601396e+03    0.119817490e+03    0.380751817e+00
   0.549140880e+00    0.586762132e+03    0.121021674e+03    0.381292722e+00
   0.551594992e+00    0.589928205e+03    0.122229682e+03    0.381643907e+00
   0.554049104e+00    0.593099174e+03    0.123440275e+03    0.382122383e+00
   0.556503216e+00    0.596274725e+03    0.124654968e+03    0.382692954e+00
   0.558957328e+00    0.599456721e+03    0.125872815e+03    0.382881494e+00
   0.561411440e+00    0.602644681e+03    0.127094360e+03    0.383482246e+00
   0.563865552e+00    0.605837520e+03    0.128319691e+03    0.383997242e+00
   0.566319664e+00    0.609035197e+03    0.129548053e+03    0.384367810e+00
   0.568773776e+00    0.612238415e+03    0.130780242e+03    0.384847927e+00
   0.571227888e+00    0.615447277e+03    0.132015204e+03    0.384984335e+00
   0.573682000e+00    0.618660504e+03    0.133253278e+03    0.385559772e+00
   0.576136112e+00    0.621879919e+03    0.134494879e+03    0.385804516e+00
   0.578590224e+00    0.625104516e+03    0.135740015e+03    0.386506769e+00
   0.581044336e+00    0.628334066e+03    0.136988795e+03    0.386683924e+00
   0.583498448e+00    0.631569635e+03    0.138240194e+03    0.387010033e+00
   0.585952560e+00    0.634810089e+03    0.139495084e+03    0.387378874e+00
   0.588406672e+00    0.638055208e+03    0.140752499e+03    0.387641530e+00
   0.590860784e+00    0.641305786e+03    0.142013034e+03    0.387898550e+00
   0.593314896e+00    0.644562244e+03    0.143276937e+03    0.388456344e+00
   0.595769008e+00    0.647823333e+03    0.144544667e+03    0.388888710e+00
   0.598223120e+00    0.651090407e+03    0.145815162e+03    0.388878238e+00
   0.600677232e+00    0.654362579e+03    0.147088034e+03    0.389207585e+00
   0.603131344e+00    0.657639573e+03    0.148364515e+03    0.389852916e+00
   0.605585456e+00    0.660920385e+03    0.149644067e+03    0.390031332e+00
   0.608039568e+00    0.664208365e+03    0.150926545e+03    0.390202962e+00
   0.610493680e+00    0.667500289e+03    0.152211860e+03    0.390615224e+00
   0.612947792e+00    0.670798954e+03    0.153500518e+03    0.390689350e+00
   0.615401904e+00    0.674102131e+03    0.154791376e+03    0.390955505e+00
   0.617856016e+00    0.677410611e+03    0.156085577e+03    0.391414167e+00
   0.620310128e+00    0.680723563e+03    0.157382713e+03    0.391523379e+00
   0.622764240e+00    0.684040679e+03    0.158681590e+03    0.391799890e+00
   0.625218352e+00    0.687364264e+03    0.159984603e+03    0.392114964e+00
   0.627672464e+00    0.690693779e+03    0.161290050e+03    0.392186083e+00
   0.630126576e+00    0.694027041e+03    0.162598252e+03    0.392737604e+00
   0.632580688e+00    0.697365717e+03    0.163909858e+03    0.392877214e+00
   0.635034800e+00    0.700710340e+03    0.165223909e+03    0.392926940e+00
   0.637488912e+00    0.704058588e+03    0.166539864e+03    0.393187380e+00
   0.639943024e+00    0.707412230e+03    0.167859288e+03    0.393656534e+00
   0.642397136e+00    0.710771321e+03    0.169181854e+03    0.393703270e+00
   0.644851248e+00    0.714136388e+03    0.170506774e+03    0.393865624e+00
   0.647305360e+00    0.717505399e+03    0.171834168e+03    0.394026983e+00
   0.649759472e+00    0.720880286e+03    0.173163991e+03    0.394144848e+00
   0.652213584e+00    0.724259247e+03    0.174496528e+03    0.394571655e+00
   0.654667696e+00    0.727643737e+03    0.175832382e+03    0.394747204e+00
   0.657121808e+00    0.731031834e+03    0.177169728e+03    0.394725836e+00
   0.659575920e+00    0.734426058e+03    0.178509980e+03    0.395051226e+00
   0.662030032e+00    0.737825692e+03    0.179853359e+03    0.395154443e+00
   0.664484144e+00    0.741230173e+03    0.181198950e+03    0.395498482e+00
   0.666938256e+00    0.744639576e+03    0.182548144e+03    0.395745961e+00
   0.669392368e+00    0.748053903e+03    0.183898835e+03    0.395525916e+00
   0.671846480e+00    0.751472736e+03    0.185251333e+03    0.395720843e+00
   0.674300592e+00    0.754896938e+03    0.186607159e+03    0.396223420e+00
   0.676754704e+00    0.758326000e+03    0.187966080e+03    0.396176515e+00
   0.679208816e+00    0.761760049e+03    0.189326314e+03    0.396262533e+00
   0.681662928e+00    0.765198788e+03    0.190689926e+03    0.396662507e+00
   0.684117040e+00    0.768643630e+03    0.192055912e+03    0.396393892e+00
   0.686571152e+00    0.772091427e+03    0.193423047e+03    0.396843301e+00
   0.689025264e+00    0.775544772e+03    0.194794271e+03    0.397064335e+00
   0.691479376e+00    0.779003402e+03    0.196167129e+03    0.396936570e+00
   0.693933488e+00    0.782466919e+03    0.197542363e+03    0.397154532e+00
   0.696387600e+00    0.785935356e+03    0.198920051e+03    0.397267841e+00
   0.698841712e+00    0.789408677e+03    0.200300166e+03    0.397450196e+00
   0.701295824e+00    0.792887116e+03    0.201682953e+03    0.397527022e+00
   0.703749936e+00    0.796369349e+03    0.203066981e+03    0.397463219e+00
   0.706204048e+00    0.799856868e+03    0.204453794e+03    0.397850157e+00
